
CIRCUIT ELEMENT POWER FLOW

(Power Flow into element from indicated Bus)
21BT      2        -0.2 +j     -0.1        0.2       0.8300
21BT      3        -0.2 +j     -0.1        0.2       0.8300
21BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.6 +j     -0.4        0.7       0.8300

ELEMENT = "Transformer.TRAFO_23"
23        1         1.1 +j      0.8        1.3       0.8140
23        2         1.1 +j      0.8        1.3       0.8140
23        3         1.1 +j      0.8        1.3       0.8140
23        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     3.2 +j      2.3        3.9       0.8140
23BT      1        -1.1 +j     -0.8        1.3       0.8153
23BT      2        -1.1 +j     -0.8        1.3       0.8153
23BT      3        -1.1 +j     -0.8        1.3       0.8153
23BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -3.2 +j     -2.3        3.9       0.8153

ELEMENT = "Transformer.TRAFO_25"
25        1         0.5 +j      0.4        0.7       0.8134
25        2         0.5 +j      0.4        0.7       0.8134
25        3         0.5 +j      0.4        0.7       0.8134
25        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     1.6 +j      1.1        2.0       0.8134
25BT      1        -0.5 +j     -0.4        0.6       0.8140
25BT      2        -0.5 +j     -0.4        0.6       0.8140
25BT      3        -0.5 +j     -0.4        0.6       0.8140
25BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -1.6 +j     -1.1        1.9       0.8140

ELEMENT = "Transformer.TRAFO_26"
26        1         0.5 +j      0.4        0.7       0.8134
26        2         0.5 +j      0.4        0.7       0.8134
26        3         0.5 +j      0.4        0.7       0.8134
26        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     1.6 +j      1.1        2.0       0.8134
26BT      1        -0.5 +j     -0.4        0.6       0.8140
26BT      2        -0.5 +j     -0.4        0.6       0.8140
26BT      3        -0.5 +j     -0.4        0.6       0.8140
26BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -1.6 +j     -1.1        1.9       0.8140

ELEMENT = "Transformer.TRAFO_27"
27        1         0.9 +j      0.6        1.1       0.8130
27        2         0.9 +j      0.6        1.1       0.8130
27        3         0.9 +j      0.6        1.1       0.8130
27        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     2.6 +j      1.8        3.2       0.8130
27BT      1        -0.9 +j     -0.6        1.1       0.8140
27BT      2        -0.9 +j     -0.6        1.1       0.8140
27BT      3        -0.9 +j     -0.6        1.1       0.8140
27BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -2.6 +j     -1.8        3.2       0.8140

ELEMENT = "Transformer.TRAFO_28"
28        1         0.9 +j      0.6        1.1       0.8130
28        2         0.9 +j      0.6        1.1       0.8130
28        3         0.9 +j      0.6        1.1       0.8130
28        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     2.6 +j      1.8        3.2       0.8130
28BT      1        -0.9 +j     -0.6        1.1       0.8140
28BT      2        -0.9 +j     -0.6        1.1       0.8140
28BT      3        -0.9 +j     -0.6        1.1       0.8140
28BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -2.6 +j     -1.8        3.2       0.8140

ELEMENT = "Transformer.TRAFO_32"
32        1         0.5 +j      0.3        0.6       0.8143
32        2         0.5 +j      0.3        0.6       0.8143
32        3         0.5 +j      0.3        0.6       0.8143
32        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     1.4 +j      1.0        1.7       0.8143
32BT      1        -0.5 +j     -0.3        0.6       0.8148
32BT      2        -0.5 +j     -0.3        0.6       0.8148
32BT      3        -0.5 +j     -0.3        0.6       0.8148
32BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -1.4 +j     -1.0        1.7       0.8148

ELEMENT = "Transformer.TRAFO_33"
33        1         0.6 +j      0.5        0.8       0.8186
33        2         0.6 +j      0.5        0.8       0.8186
33        3         0.6 +j      0.5        0.8       0.8186
33        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     1.9 +j      1.4        2.4       0.8186
33BT      1        -0.6 +j     -0.5        0.8       0.8193
33BT      2        -0.6 +j     -0.5        0.8       0.8193
33BT      3        -0.6 +j     -0.5        0.8       0.8193
33BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -1.9 +j     -1.4        2.4       0.8193

ELEMENT = "Transformer.TRAFO_34"
34        1         0.2 +j      0.1        0.2       0.8298
34        2         0.2 +j      0.1        0.2       0.8298
34        3         0.2 +j      0.1        0.2       0.8298
34        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.6 +j      0.4        0.7       0.8298
34BT      1        -0.2 +j     -0.1        0.2       0.8300
34BT      2        -0.2 +j     -0.1        0.2       0.8300
34BT      3        -0.2 +j     -0.1        0.2       0.8300
34BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.6 +j     -0.4        0.7       0.8300

ELEMENT = "Transformer.TRAFO_27E"
27E       1         0.9 +j      0.6        1.1       0.8130
27E       2         0.9 +j      0.6        1.1       0.8130
27E       3         0.9 +j      0.6        1.1       0.8130
27E       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     2.6 +j      1.8        3.2       0.8130
27EBT     1        -0.9 +j     -0.6        1.1       0.8140
27EBT     2        -0.9 +j     -0.6        1.1       0.8140
27EBT     3        -0.9 +j     -0.6        1.1       0.8140
27EBT     0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -2.6 +j     -1.8        3.2       0.8140

ELEMENT = "Transformer.TRAFO_28E"
28E       1         0.9 +j      0.6        1.1       0.8130
28E       2         0.9 +j      0.6        1.1       0.8130
28E       3         0.9 +j      0.6        1.1       0.8130
28E       0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     2.6 +j      1.8        3.2       0.8130
28EBT     1        -0.9 +j     -0.6        1.1       0.8140
28EBT     2        -0.9 +j     -0.6        1.1       0.8140
28EBT     3        -0.9 +j     -0.6        1.1       0.8140
28EBT     0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -2.6 +j     -1.8        3.2       0.8140

ELEMENT = "Transformer.TRAFO_66"
66        1         0.8 +j      0.6        1.0       0.8131
66        2         0.8 +j      0.6        1.0       0.8131
66        3         0.8 +j      0.6        1.0       0.8131
66        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     2.4 +j      1.7        2.9       0.8131
66BT      1        -0.8 +j     -0.6        1.0       0.8140
66BT      2        -0.8 +j     -0.6        1.0       0.8140
66BT      3        -0.8 +j     -0.6        1.0       0.8140
66BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -2.4 +j     -1.7        2.9       0.8140

ELEMENT = "Transformer.TRAFO_67"
67        1         0.8 +j      0.6        1.0       0.8131
67        2         0.8 +j      0.6        1.0       0.8131
67        3         0.8 +j      0.6        1.0       0.8131
67        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     2.4 +j      1.7        2.9       0.8131
67BT      1        -0.8 +j     -0.6        1.0       0.8140
67BT      2        -0.8 +j     -0.6        1.0       0.8140
67BT      3        -0.8 +j     -0.6        1.0       0.8140
67BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -2.4 +j     -1.7        2.9       0.8140

ELEMENT = "Transformer.TRAFO_68"
68        1         0.0 +j      0.0        0.1       0.7697
68        2         0.0 +j      0.0        0.1       0.7697
68        3         0.0 +j      0.0        0.1       0.7697
68        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.1 +j      0.1        0.2       0.7697
68BT      1        -0.0 +j     -0.0        0.1       0.7698
68BT      2        -0.0 +j     -0.0        0.1       0.7698
68BT      3        -0.0 +j     -0.0        0.1       0.7698
68BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.1 +j     -0.1        0.2       0.7698

ELEMENT = "Transformer.TRAFO_70"
70        1         0.2 +j      0.1        0.2       0.8138
70        2         0.2 +j      0.1        0.2       0.8138
70        3         0.2 +j      0.1        0.2       0.8138
70        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.6 +j      0.4        0.7       0.8138
70BT      1        -0.2 +j     -0.1        0.2       0.8140
70BT      2        -0.2 +j     -0.1        0.2       0.8140
70BT      3        -0.2 +j     -0.1        0.2       0.8140
70BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.6 +j     -0.4        0.7       0.8140

ELEMENT = "Transformer.TRAFO_89"
89        1         0.3 +j      0.9        0.9       0.3299
89        2         0.3 +j      0.9        0.9       0.3299
89        3         0.3 +j      0.9        0.9       0.3299
89        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.9 +j      2.6        2.8       0.3299
89BT      1        -0.3 +j     -0.9        0.9       0.3304
89BT      2        -0.3 +j     -0.9        0.9       0.3304
89BT      3        -0.3 +j     -0.9        0.9       0.3304
89BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.9 +j     -2.6        2.8       0.3304

ELEMENT = "Transformer.TRAFO_90"
90        1         0.3 +j      0.9        0.9       0.3299
90        2         0.3 +j      0.9        0.9       0.3299
90        3         0.3 +j      0.9        0.9       0.3299
90        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.9 +j      2.6        2.8       0.3299
90BT      1        -0.3 +j     -0.9        0.9       0.3304
90BT      2        -0.3 +j     -0.9        0.9       0.3304
90BT      3        -0.3 +j     -0.9        0.9       0.3304
90BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.9 +j     -2.6        2.8       0.3304

ELEMENT = "Transformer.TRAFO_36"
36        1         3.0 +j      2.1        3.7       0.8127
36        2         3.0 +j      2.1        3.7       0.8127
36        3         3.0 +j      2.1        3.7       0.8127
36        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     9.0 +j      6.4       11.0       0.8127
36BT      1        -3.0 +j     -2.1        3.7       0.8140
36BT      2        -3.0 +j     -2.1        3.7       0.8140
36BT      3        -3.0 +j     -2.1        3.7       0.8140
36BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -9.0 +j     -6.4       11.0       0.8140

ELEMENT = "Transformer.TRAFO_37"
37        1         3.2 +j     10.4       10.9       0.2941
37        2         3.2 +j     10.4       10.9       0.2941
37        3         3.2 +j     10.4       10.9       0.2941
37        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     9.6 +j     31.2       32.6       0.2941
37BT      1        -3.2 +j    -10.4       10.9       0.2948
37BT      2        -3.2 +j    -10.4       10.9       0.2948
37BT      3        -3.2 +j    -10.4       10.9       0.2948
37BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -9.6 +j    -31.1       32.6       0.2948

ELEMENT = "Transformer.TRAFO_38"
38        1        14.5 +j     10.5       17.9       0.8118
38        2        14.5 +j     10.5       17.9       0.8118
38        3        14.5 +j     10.5       17.9       0.8118
38        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    43.6 +j     31.4       53.7       0.8118
38BT      1       -14.5 +j    -10.4       17.9       0.8140
38BT      2       -14.5 +j    -10.4       17.9       0.8140
38BT      3       -14.5 +j    -10.4       17.9       0.8140
38BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL   -43.6 +j    -31.1       53.6       0.8140

ELEMENT = "Transformer.TRAFO_40"
40        1         1.5 +j      1.1        1.9       0.8180
40        2         1.5 +j      1.1        1.9       0.8180
40        3         1.5 +j      1.1        1.9       0.8180
40        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     4.6 +j      3.2        5.6       0.8180
40BT      1        -1.5 +j     -1.1        1.9       0.8197
40BT      2        -1.5 +j     -1.1        1.9       0.8197
40BT      3        -1.5 +j     -1.1        1.9       0.8197
40BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -4.6 +j     -3.2        5.6       0.8197

ELEMENT = "Transformer.TRAFO_41"
41        1         0.1 +j      0.1        0.2       0.8022
41        2         0.1 +j      0.1        0.2       0.8022
41        3         0.1 +j      0.1        0.2       0.8022
41        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.4 +j      0.3        0.5       0.8022
41BT      1        -0.1 +j     -0.1        0.2       0.8024
41BT      2        -0.1 +j     -0.1        0.2       0.8024
41BT      3        -0.1 +j     -0.1        0.2       0.8024
41BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.4 +j     -0.3        0.5       0.8024

ELEMENT = "Transformer.TRAFO_42"
42        1         0.3 +j      0.2        0.3       0.7798
42        2         0.3 +j      0.2        0.3       0.7798
42        3         0.3 +j      0.2        0.3       0.7798
42        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.8 +j      0.6        1.0       0.7798
42BT      1        -0.3 +j     -0.2        0.3       0.7801
42BT      2        -0.3 +j     -0.2        0.3       0.7801
42BT      3        -0.3 +j     -0.2        0.3       0.7801
42BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.8 +j     -0.6        1.0       0.7801

ELEMENT = "Transformer.TRAFO_43"
43        1         1.5 +j      1.1        1.9       0.8100
43        2         1.5 +j      1.1        1.9       0.8100
43        3         1.5 +j      1.1        1.9       0.8100
43        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     4.6 +j      3.3        5.7       0.8100
43BT      1        -1.5 +j     -1.1        1.9       0.8117
43BT      2        -1.5 +j     -1.1        1.9       0.8117
43BT      3        -1.5 +j     -1.1        1.9       0.8117
43BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -4.6 +j     -3.3        5.6       0.8117

ELEMENT = "Transformer.TRAFO_44"
44        1         1.4 +j      1.0        1.7       0.8124
44        2         1.4 +j      1.0        1.7       0.8124
44        3         1.4 +j      1.0        1.7       0.8124
44        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     4.2 +j      3.0        5.1       0.8124
44BT      1        -1.4 +j     -1.0        1.7       0.8140
44BT      2        -1.4 +j     -1.0        1.7       0.8140
44BT      3        -1.4 +j     -1.0        1.7       0.8140
44BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -4.2 +j     -3.0        5.1       0.8140

ELEMENT = "Transformer.TRAFO_48"
48        1         0.1 +j      4.2        4.2       0.0280
48        2         0.1 +j      4.2        4.2       0.0280
48        3         0.1 +j      4.2        4.2       0.0280
48        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     0.4 +j     12.6       12.6       0.0280
48BT      1        -0.1 +j     -4.2        4.2       0.0278
48BT      2        -0.1 +j     -4.2        4.2       0.0278
48BT      3        -0.1 +j     -4.2        4.2       0.0278
48BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -0.3 +j    -12.5       12.5       0.0278

ELEMENT = "Transformer.TRAFO_50"
50        1        72.0 +j     52.1       88.9       0.8105
50        2        72.0 +j     52.1       88.9       0.8105
50        3        72.0 +j     52.1       88.9       0.8105
50        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL   216.1 +j    156.2      266.7       0.8105
50BT      1       -72.0 +j    -51.4       88.5       0.8140
50BT      2       -72.0 +j    -51.4       88.5       0.8140
50BT      3       -72.0 +j    -51.4       88.5       0.8140
50BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL  -216.0 +j   -154.2      265.4       0.8140

ELEMENT = "Transformer.TRAFO_51"
51        1         1.9 +j      1.3        2.3       0.8117
51        2         1.9 +j      1.3        2.3       0.8117
51        3         1.9 +j      1.3        2.3       0.8117
51        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     5.6 +j      4.0        6.8       0.8117
51BT      1        -1.9 +j     -1.3        2.3       0.8140
51BT      2        -1.9 +j     -1.3        2.3       0.8140
51BT      3        -1.9 +j     -1.3        2.3       0.8140
51BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -5.6 +j     -4.0        6.8       0.8140

ELEMENT = "Transformer.TRAFO_53"
53        1        13.1 +j      9.4       16.2       0.8125
53        2        13.1 +j      9.4       16.2       0.8125
53        3        13.1 +j      9.4       16.2       0.8125
53        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    39.4 +j     28.3       48.5       0.8125
53BT      1       -13.1 +j     -9.4       16.1       0.8146
53BT      2       -13.1 +j     -9.4       16.1       0.8146
53BT      3       -13.1 +j     -9.4       16.1       0.8146
53BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL   -39.4 +j    -28.1       48.4       0.8146

ELEMENT = "Transformer.TRAFO_54"
54        1         3.4 +j      2.5        4.2       0.8122
54        2         3.4 +j      2.5        4.2       0.8122
54        3         3.4 +j      2.5        4.2       0.8122
54        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    10.3 +j      7.4       12.6       0.8122
54BT      1        -3.4 +j     -2.4        4.2       0.8164
54BT      2        -3.4 +j     -2.4        4.2       0.8164
54BT      3        -3.4 +j     -2.4        4.2       0.8164
54BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL   -10.2 +j     -7.2       12.6       0.8164

ELEMENT = "Transformer.TRAFO_55"
55        1         0.7 +j      0.5        0.8       0.8132
55        2         0.7 +j      0.5        0.8       0.8132
55        3         0.7 +j      0.5        0.8       0.8132
55        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     2.0 +j      1.5        2.5       0.8132
55BT      1        -0.7 +j     -0.5        0.8       0.8140
55BT      2        -0.7 +j     -0.5        0.8       0.8140
55BT      3        -0.7 +j     -0.5        0.8       0.8140
55BT      0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL    -2.0 +j     -1.5        2.5       0.8140

ELEMENT = "Transformer.TRAFO_56"
56        1         0.7 +j      0.5        0.8       0.8132
56        2         0.7 +j      0.5        0.8       0.8132
56        3         0.7 +j      0.5        0.8       0.8132
56        0         0.0 +j      0.0        0.0       1.0000
   TERMINAL TOTAL     2.0 +j      1.5        2.5       0.8132
56BT      1        -0.7 +j     -0.5        0.8       0.8140
56BT      2        -0.7 +j     -0.5        0.8       0.8140
56BT      3        -0.7 +j     -0.5        0.8       0.8140
56BT      0         0.0 +j      0.0        0.0       1.0000
